loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, bank_asset_value, luxury_assets_value,Expenses, loan_status
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,10900000,21400000,4969398, Rejected
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,4900000,8700000,2084851, Approved
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,6500000,17700000,2667146, Approved
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,8200000,18500000,2221761, Approved
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,11700000,37700000,4942389, Approved
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,10500000,20500000,5844658, Rejected
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,11300000,21800000,6383633, Rejected
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,3400000,9300000,1969631, Approved
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,8200000,31900000,3464804, Approved
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,3400000,19400000,2230904, Approved
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,6200000,16300000,3705170, Approved
57,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,5200000,9300000,2712860, Rejected
58,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,8700000,34600000,4161246, Approved
59,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,4100000,17500000,5302518, Rejected
60,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,4800000,18600000,2458786, Approved
61,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,11400000,25900000,6669316, Rejected
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,9300000,26500000,4471306, Approved
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,4700000,27400000,5779572, Rejected
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,2900000,10500000,1877329, Approved
65,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,2800000,13100000,2032020, Approved
66,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,2800000,14900000,2957571, Rejected
67,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,11900000,24100000,4336473, Approved
68,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,1400000,5900000,1717985, Rejected
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,5500000,11800000,2940302, Approved
70,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,2400000,4900000,1272392, Rejected
71,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,600000,1900000,368098, Rejected
72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,4200000,11900000,2387494, Approved
73,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,7600000,21500000,4821327, Rejected
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,5600000,12600000,2482308, Approved
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,2000000,5600000,2180890, Rejected
76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,1100000,4800000,887064, Approved
77,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,6300000,12900000,3170195, Approved
78,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,11100000,35400000,4317964, Approved
79,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,9000000,25200000,3518872, Approved
80,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,900000,2400000,300043, Approved
81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,2000000,12300000,2783367, Rejected
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,8600000,33300000,4094433, Approved
83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,6800000,26600000,7829033, Rejected
84,3, Graduate, No,3600000,8600000,20,613,9400000,300000,3300000,10300000,2127678, Approved
85,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,3400000,11000000,1699607, Approved
86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,3600000,23300000,5731557, Rejected
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,1600000,3800000,827819, Rejected
88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,10200000,27900000,6599182, Rejected
89,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,2900000,3900000,890168, Approved
90,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,7600000,23400000,4386220, Approved
91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,6000000,12500000,3957139, Rejected
92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,12700000,22400000,6202609, Rejected
93,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,4700000,13100000,2266522, Approved
94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,2100000,5600000,1057299, Rejected
95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,1300000,3200000,832800, Rejected
96,5, Graduate, No,300000,1100000,2,300,100000,500000,400000,700000,171132, Approved
97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,7000000,18200000,4260182, Rejected
98,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,7300000,23200000,4415001, Approved
99,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,7100000,36400000,4299110, Approved
100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,4700000,13800000,3356834, Rejected
101,4, Not Graduate, No,400000,900000,12,478,700000,100000,100000,1200000,278600, Rejected
102,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,200000,500000,126935, Approved
103,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,2400000,11400000,2565933, Approved
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,1900000,4100000,678268, Approved
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,8700000,23800000,3722467, Rejected
106,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,5100000,16700000,1681138, Approved
107,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,11600000,20800000,3601684, Approved
108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,1800000,9900000,1260299, Approved
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,10900000,20400000,5409946, Approved
110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,3600000,11700000,2496200, Rejected
111,0, Not Graduate, No,300000,1100000,8,778,800000,200000,100000,900000,123691, Approved
112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,5000000,17900000,4808268, Rejected
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,9800000,25300000,5904530, Rejected
114,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,9800000,19300000,3810320, Approved
115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,8100000,33400000,6601149, Rejected
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,3300000,7700000,1647615, Approved
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,7500000,22600000,3882886, Rejected
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,700000,1500000,324509, Approved
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,3600000,21500000,5344024, Rejected
120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,5900000,23600000,5398218, Approved
121,5, Graduate, No,900000,2300000,16,545,100000,200000,800000,2700000,593520, Rejected
122,2, Graduate, No,800000,3200000,8,317,300000,1000000,900000,2000000,551327, Rejected
123,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,5500000,20500000,3720654, Approved
124,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,11300000,20900000,4300468, Approved
125,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,10200000,18200000,3596098, Approved
126,3, Graduate, No,200000,600000,16,821,400000,100000,100000,500000,90773, Approved
127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,200000,800000,200999, Approved
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,6300000,15500000,3433387, Rejected
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,800000,2700000,488995, Rejected
130,3, Graduate, No,400000,1200000,12,861,200000,600000,200000,1100000,202430, Approved
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,13400000,33900000,3885678, Approved
132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,4900000,18200000,7129796, Rejected
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,2600000,5400000,1242458, Rejected
134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,9600000,25700000,5628742, Rejected
135,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,1300000,4400000,714713, Approved
136,3, Graduate, No,1600000,5500000,12,425,600000,800000,900000,5400000,972669, Rejected
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,6100000,13900000,1873690, Approved
138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,1100000,8600000,1493722, Rejected
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,1800000,7500000,1605426, Approved
140,0, Graduate, No,200000,700000,8,501,500000,200000,100000,700000,150820, Rejected
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,3300000,9500000,1007968, Approved
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,2800000,7400000,2062097, Approved
143,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,5900000,12800000,2242229, Approved
144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,7200000,25900000,5399257, Rejected
145,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,9800000,24500000,3885707, Approved
146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,300000,2100000,431898, Rejected
147,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,1600000,5100000,714864, Approved
148,3, Graduate, No,4000000,11100000,12,572,9700000,100000,2400000,12500000,2263252, Approved
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,3800000,18500000,2474029, Approved
150,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,1100000,7200000,1537741, Rejected
151,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,4200000,18800000,4099512, Rejected
152,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,8400000,20400000,5299045, Approved
153,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,3200000,18100000,3897259, Approved
154,2, Not Graduate, No,1300000,4500000,6,415,0,900000,1200000,2900000,1034648, Rejected
155,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,4800000,36100000,6411900, Rejected
156,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,4600000,14000000,2015757, Approved
157,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,2100000,8400000,1379685, Approved
158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,8300000,27800000,6568179, Rejected
159,5, Graduate, Yes,700000,1300000,20,704,1600000,0,600000,2200000,362775, Approved
160,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,4900000,8000000,2563505, Rejected
161,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,4200000,10400000,1279372, Approved
162,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,6000000,17800000,2124973, Approved
163,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,6100000,27400000,7885526, Rejected
164,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,2900000,4300000,1162025, Approved
165,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,7300000,27000000,4607878, Approved
166,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,4500000,16300000,2616042, Approved
167,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,2800000,16000000,3260330, Approved
168,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,1100000,5000000,1315762, Rejected
169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,8200000,23100000,6438217, Rejected
170,0, Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,3500000,18700000,2256520, Approved
171,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,2300000,14900000,1597013, Approved
172,0, Not Graduate, No,1900000,4100000,18,801,400000,800000,1200000,4800000,785735, Approved
173,3, Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,2600000,9700000,1875132, Approved
174,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,5200000,17400000,5965846, Rejected
175,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,7400000,18500000,4009597, Rejected
176,2, Graduate, No,1800000,5300000,6,826,4500000,700000,1300000,6500000,971835, Approved
177,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,11400000,33800000,4795621, Approved
178,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,2800000,5700000,1569137, Rejected
179,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,6500000,20000000,2573575, Approved
180,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,2800000,8200000,2917126, Rejected
181,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,4200000,14300000,2394317, Approved
182,0, Graduate, Yes,900000,2200000,16,566,100000,700000,600000,2000000,381703, Approved
183,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,1700000,6700000,1506609, Approved
184,2, Not Graduate, No,7500000,23100000,4,824,12100000,10900000,9500000,26300000,3700598, Approved
185,4, Graduate, No,1400000,3100000,14,575,3000000,2100000,1400000,4900000,751909, Approved
186,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,3000000,8600000,2114852, Approved
187,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,2200000,4100000,1013701, Approved
188,3, Graduate, Yes,9000000,30400000,6,638,16800000,11000000,9200000,26900000,5030199, Approved
189,5, Not Graduate, Yes,7300000,23300000,6,622,7100000,11600000,10500000,26400000,3782208, Approved
190,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,4000000,27700000,5236350, Rejected
191,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,11200000,24000000,6752886, Rejected
192,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,1700000,6700000,1723320, Approved
193,1, Graduate, No,800000,2900000,8,682,2200000,1100000,700000,2900000,445151, Approved
194,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,5200000,9500000,2642169, Approved
195,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,3600000,22500000,3092152, Approved
196,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,9600000,28000000,7230978, Rejected
197,4, Not Graduate, Yes,400000,1500000,2,669,-100000,600000,500000,900000,193434, Approved
198,2, Not Graduate, No,2800000,6000000,18,816,6300000,4200000,3400000,8000000,1532955, Approved
199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,9400000,22500000,6836853, Rejected
200,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,4300000,16200000,3471656, Rejected
201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,14400000,31800000,5919088, Rejected
202,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,2200000,12200000,3207104, Rejected
203,2, Graduate, No,500000,1500000,2,888,1500000,300000,600000,1500000,259159, Approved
204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,10000000,22600000,5628114, Rejected
205,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,5600000,38200000,4424603, Approved
206,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,3200000,10400000,1414054, Approved
207,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,13400000,38600000,4166256, Approved
208,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,5800000,19600000,3037006, Approved
209,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,6600000,21900000,5788531, Rejected
210,3, Graduate, No,1400000,3300000,2,652,100000,2100000,1900000,3500000,753856, Approved
211,3, Graduate, No,7800000,15900000,2,665,14400000,900000,5400000,27200000,4646045, Approved
212,5, Not Graduate, Yes,1700000,6000000,18,420,500000,1600000,2300000,3700000,1264898, Rejected
213,2, Not Graduate, No,8500000,32700000,18,471,12600000,9400000,12500000,33900000,6472369, Rejected
214,5, Not Graduate, No,1900000,7500000,20,715,5100000,2800000,2800000,6500000,1037897, Approved
215,2, Not Graduate, Yes,6700000,15200000,10,689,0,8200000,6800000,15000000,4014867, Approved
216,3, Graduate, Yes,6900000,16400000,4,787,11100000,6100000,3800000,26400000,3000800, Approved
217,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,1500000,5700000,1134062, Approved
218,4, Graduate, Yes,9600000,21100000,6,809,16100000,9500000,8700000,34700000,4947660, Approved
219,1, Not Graduate, Yes,6800000,17000000,2,744,15500000,3900000,3500000,23700000,3004073, Approved
220,0, Not Graduate, No,3200000,11300000,6,484,3500000,5500000,2100000,8500000,2196692, Rejected
221,4, Not Graduate, No,2900000,10400000,6,673,5100000,1700000,1700000,10600000,1546838, Approved
222,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,4900000,21800000,3181576, Approved
223,4, Not Graduate, Yes,3900000,12400000,12,473,6400000,4700000,3800000,13100000,3050000, Rejected
224,4, Graduate, Yes,4600000,11000000,2,491,9000000,4000000,3500000,16100000,3885944, Rejected
225,3, Not Graduate, Yes,700000,1700000,8,733,1200000,800000,500000,2400000,343225, Approved
226,0, Not Graduate, No,5200000,15600000,20,434,14100000,5800000,5500000,18100000,3724319, Rejected
227,3, Not Graduate, Yes,5900000,20600000,10,777,1900000,4600000,6400000,21200000,2843126, Approved
228,4, Graduate, No,7200000,19100000,4,774,9400000,7000000,3600000,17900000,3503953, Approved
229,1, Not Graduate, Yes,8700000,27000000,10,717,25500000,8600000,9100000,17500000,3520417, Approved
230,3, Not Graduate, Yes,1100000,3500000,12,503,3000000,400000,1200000,2200000,933680, Rejected
231,1, Graduate, Yes,4000000,10900000,14,598,3600000,6600000,4400000,13600000,1920255, Approved
232,2, Graduate, No,9800000,32400000,2,543,24200000,17500000,7700000,25700000,4948638, Approved
233,0, Not Graduate, Yes,2700000,6800000,20,796,700000,4200000,1900000,7000000,1190163, Approved
234,3, Not Graduate, Yes,8800000,34600000,8,386,14800000,16500000,6000000,18400000,6838673, Rejected
235,5, Not Graduate, Yes,3300000,7800000,16,632,8500000,500000,4900000,7100000,1394806, Approved
236,1, Graduate, Yes,6900000,23400000,4,481,18700000,1100000,10200000,23400000,3316756, Approved
237,3, Graduate, Yes,900000,3500000,4,770,700000,0,600000,2000000,671672, Rejected
238,3, Graduate, Yes,4100000,15500000,6,667,2800000,1600000,4000000,14700000,2428337, Approved
239,3, Not Graduate, Yes,4700000,17500000,8,585,1200000,3100000,4900000,9600000,2565058, Approved
240,5, Graduate, Yes,3400000,11600000,16,479,9200000,5700000,2400000,11200000,2749463, Rejected
241,2, Graduate, No,9600000,22500000,18,851,7400000,16200000,12700000,24300000,5423927, Approved
242,3, Not Graduate, Yes,7000000,16200000,6,378,20000000,12600000,5500000,20300000,5112013, Rejected
243,5, Graduate, No,5700000,12900000,18,807,4100000,900000,5500000,18600000,3242434, Approved
244,1, Not Graduate, Yes,8200000,32400000,18,831,22800000,12300000,7800000,17700000,4675330, Approved
245,2, Not Graduate, No,2100000,5100000,12,674,2200000,3200000,2400000,6400000,1198521, Approved
246,1, Not Graduate, Yes,8000000,28100000,18,725,1900000,12800000,7500000,23000000,4647034, Approved
247,2, Not Graduate, No,8000000,29300000,4,600,16500000,13200000,6500000,29400000,3832776, Approved
248,0, Not Graduate, Yes,9400000,27000000,10,536,4400000,1700000,4800000,33800000,7075455, Rejected
249,0, Graduate, No,8400000,20600000,10,477,1500000,1500000,11900000,25000000,6648806, Rejected
250,1, Not Graduate, Yes,1900000,5000000,6,560,1000000,1900000,1400000,6300000,889508, Approved
251,0, Not Graduate, Yes,4200000,16400000,20,539,9500000,2100000,3100000,11400000,3360212, Rejected
252,5, Graduate, No,2600000,9100000,8,852,3700000,700000,3300000,10300000,1425543, Approved
253,3, Not Graduate, No,3700000,8500000,20,853,8300000,5700000,4900000,7500000,2145686, Approved
254,0, Graduate, No,8800000,30900000,12,729,1700000,700000,11400000,25700000,4962849, Approved
255,2, Not Graduate, No,2100000,4700000,2,546,6000000,3200000,1500000,5700000,1280354, Rejected
256,3, Graduate, Yes,900000,2400000,10,489,800000,0,500000,2800000,709409, Rejected
257,3, Graduate, Yes,9800000,35400000,6,869,14400000,16400000,10300000,22800000,4028924, Approved
258,2, Not Graduate, No,8000000,20000000,2,502,4100000,2200000,9900000,31600000,6189314, Rejected
259,0, Graduate, No,9800000,38800000,8,652,23200000,19000000,5400000,29700000,5834928, Approved
260,0, Not Graduate, Yes,300000,1100000,8,789,400000,100000,400000,800000,156620, Approved
261,4, Not Graduate, No,2700000,8100000,4,325,5000000,800000,3400000,9900000,1557942, Approved
262,3, Graduate, Yes,7400000,19600000,2,716,4100000,8900000,4200000,29100000,4305953, Approved
263,3, Graduate, No,9200000,34300000,18,523,25600000,4000000,8800000,29100000,7142470, Rejected
264,5, Not Graduate, No,9500000,22200000,20,352,24500000,0,7000000,30800000,5848439, Rejected
265,5, Graduate, Yes,3800000,14400000,2,345,3300000,800000,4700000,13000000,2145864, Approved
266,0, Graduate, No,8300000,19400000,18,649,2500000,16100000,11300000,24300000,4329594, Approved
267,2, Graduate, Yes,2800000,7400000,18,666,100000,2300000,3400000,6300000,1240160, Approved
268,0, Graduate, No,8600000,20900000,10,813,11300000,11900000,4800000,26000000,3668147, Approved
269,0, Not Graduate, No,5400000,16800000,10,599,5300000,7400000,7600000,14500000,2906282, Approved
270,5, Graduate, Yes,4200000,9400000,6,678,4700000,5500000,5700000,9900000,1842789, Approved
271,5, Not Graduate, No,5200000,12200000,20,513,13400000,2000000,5400000,16800000,3247294, Rejected
272,5, Graduate, No,9400000,27900000,4,870,1100000,200000,10400000,29500000,4205225, Approved
273,3, Graduate, No,8800000,20400000,8,483,3200000,11400000,11800000,28200000,6962902, Rejected
274,1, Graduate, Yes,5900000,16700000,16,308,5800000,8800000,5300000,19100000,4158444, Rejected
275,3, Graduate, Yes,1700000,4900000,16,591,4700000,1000000,1400000,4300000,713240, Approved
276,1, Not Graduate, No,7000000,23000000,10,886,14000000,3700000,3600000,26700000,3500456, Approved
277,4, Not Graduate, No,1700000,4000000,6,829,0,1600000,1700000,5200000,855219, Approved
278,0, Not Graduate, No,1500000,4900000,12,651,1600000,2800000,800000,4600000,686901, Approved
279,4, Not Graduate, No,2000000,4700000,18,733,3700000,3700000,2800000,7000000,1176463, Approved
280,5, Graduate, Yes,3900000,15500000,12,433,9500000,5400000,4600000,7900000,2677884, Rejected
281,1, Graduate, Yes,900000,3600000,14,713,1300000,1000000,1200000,1800000,469434, Approved
282,1, Graduate, No,6900000,22500000,18,403,800000,8400000,6300000,16900000,4307893, Rejected
283,0, Graduate, Yes,2800000,7800000,10,405,7800000,2500000,3400000,7100000,1947463, Rejected
284,3, Graduate, Yes,6800000,19900000,10,516,16000000,6000000,8500000,26000000,5424589, Rejected
